"Rank","CryptoCurrency","Market Cap.","Price","Circulating Supply","Volume (24h)","Change (24h)","DateTime"
48,"Aave","$1,455,369,024","$105.13","13,882,516","$90,330,503","0.97 %",2022-06-05 13:01:11
49,"cETH","$1,359,201,210","$35.90","37,865,293","$111","1.59 %",2022-06-05 13:01:11
50,"TrueUSD","$1,282,762,017","$1.00","1,281,311,791","$65,475,565","0.15 %",2022-06-05 13:01:11
51,"EOS","$1,270,789,212","$1.27","996,804,711","$178,019,636","0.54 %",2022-06-05 13:01:11
52,"Theta Network","$1,194,024,454","$1.19","1,000,000,000","$46,253,040","1.53 %",2022-06-05 13:01:11
53,"cUSDC","$1,180,709,745","$0.02","52,066,050,732","$0","0.28 %",2022-06-05 13:01:11
54,"The Graph","$1,179,532,067","$0.16","7,400,273,157","$108,685,720","-2.48 %",2022-06-05 13:01:11
56,"Klaytn","$1,148,910,358","$0.40","2,843,917,537","$22,441,708","1.29 %",2022-06-05 13:01:11
57,"Zcash","$1,118,064,125","$89.40","12,515,682","$90,156,179","0.84 %",2022-06-05 13:01:11
58,"Huobi","$1,100,237,791","$7.11","154,885,159","$32,206,558","0.63 %",2022-06-05 13:01:11
60,"BitTorrent","$2,498,507,941","$0.00","932,497,500,000","$1,038,436","-2.73 %",2022-06-05 13:01:11
60,"Bitcoin SV","$1,078,880,584","$56.62","19,078,645","$59,509,398","3.66 %",2022-06-05 13:01:11
61,"Maker","$1,049,514,152","$1,164.43","901,311","$41,765,068","0.76 %",2022-06-05 13:01:11
63,"IOTA","$977,906,896","$0.35","2,779,530,283","$11,107,176","2.28 %",2022-06-05 13:01:11
64,"Pax Dollar","$938,749,029","$1.00","937,114,364","$3,080,835","0.04 %",2022-06-05 13:01:11
65,"Helium","$939,728,431","$9.36","100,539,362","$31,099,413","8.25 %",2022-06-05 13:01:11
66,"eCash","$922,958,763","$0.00","19,078,535,923,303","$5,417,101","1.12 %",2022-06-05 13:01:11
67,"Fantom","$888,498,479","$0.35","2,541,152,731","$156,493,792","1.80 %",2022-06-05 13:01:11
68,"Quant","$874,748,662","$65.21","13,413,953","$23,244,260","2.04 %",2022-06-05 13:01:11
69,"THORChain","$866,606,475","$2.88","300,755,175","$52,773,713","1.16 %",2022-06-05 13:01:11
70,"Waves","$836,705,850","$8.39","100,000,000","$632,940,939","-4.95 %",2022-06-05 13:01:11
72,"NEO","$813,520,378","$11.55","70,530,000","$106,211,921","4.63 %",2022-06-05 13:01:11
73,"Gate","$802,083,054","$5.40","148,515,369","$2,275,426","0.54 %",2022-06-05 13:01:11
75,"Terra Luna Classic","$768,841,921","$0.00","0","$106,828,585","-12.14 %",2022-06-05 13:01:11
76,"PancakeSwap","$742,424,313","$4.36","170,339,971","$63,098,104","2.81 %",2022-06-05 13:01:11
77,"cDAI","$736,509,754","$0.02","33,396,907,424","$2,439","0.09 %",2022-06-05 13:01:11
78,"Zilliqa","$717,051,466","$0.05","14,415,775,993","$65,322,940","0.57 %",2022-06-05 13:01:11
79,"Chiliz","$674,074,327","$0.13","5,344,064,580","$62,771,040","0.94 %",2022-06-05 13:01:11
80,"NEXO","$668,662,390","$1.20","560,000,010","$4,021,974","1.42 %",2022-06-05 13:01:11
82,"Loopring","$630,437,105","$0.51","1,245,991,469","$67,977,753","0.53 %",2022-06-05 13:01:11
83,"Arweave","$628,633,271","$12.55","50,108,502","$6,833,060","0.97 %",2022-06-05 13:01:11
84,"Dash","$628,434,252","$58.40","10,759,985","$61,304,950","0.67 %",2022-06-05 13:01:11
85,"PAX Gold","$620,798,331","$1,860.90","333,601","$5,296,218","0.11 %",2022-06-05 13:01:11
86,"Kusama","$610,556,772","$68.07","8,980,098","$46,407,642","1.16 %",2022-06-05 13:01:11
88,"Enjin Coin","$580,272,457","$0.62","934,340,660","$44,166,799","2.21 %",2022-06-05 13:01:11
89,"Stacks","$572,014,907","$0.54","1,052,561,462","$9,408,056","2.97 %",2022-06-05 13:01:11
90,"Basic Attention","$573,079,453","$0.38","1,498,812,101","$38,884,534","2.33 %",2022-06-05 13:01:11
91,"Celo","$567,096,706","$1.28","445,012,828","$12,250,409","2.62 %",2022-06-05 13:01:11
92,"Synthetix Network","$567,613,231","$2.59","219,627,229","$53,400,599","-1.56 %",2022-06-05 13:01:11
96,"Amp","$545,697,274","$0.01","48,013,928,909","$2,444,457","-1.15 %",2022-06-05 13:01:11
98,"DxChain Token","$94,790,225","$0.00","0","$156,923","3.37 %",2022-06-05 13:01:11
100,"Aave LINK","$330,885,424","$25.19","0","$11,646,285","3.32 %",2022-06-05 13:01:11
100,"Kava","$517,542,875","$2.55","203,556,701","$21,226,023","3.49 %",2022-06-05 13:01:11
1,"Bitcoin","$567,210,949,404","$29,751.00","19,058,812","$11,666,573,053","0.61 %",2022-06-05 13:19:15
2,"Ethereum","$216,908,724,605","$1,791.83","121,058,595","$7,641,037,290","1.78 %",2022-06-05 13:19:15
3,"Tether","$72,665,796,550","$1.00","72,543,449,553","$18,622,702,301","0.01 %",2022-06-05 13:19:15
4,"USD Coin","$54,147,334,065","$1.00","54,052,887,852","$2,620,511,416","0.24 %",2022-06-05 13:19:15
5,"BNB","$48,544,801,801","$297.37","163,276,975","$716,732,603","-0.11 %",2022-06-05 13:19:15
6,"XRP","$19,063,183,728","$0.39","48,343,101,197","$652,183,183","1.50 %",2022-06-05 13:19:15
7,"Cardano","$18,960,982,935","$0.56","33,820,262,544","$379,490,267","1.47 %",2022-06-05 13:19:15
8,"Binance USD","$18,082,658,255","$1.00","18,049,494,761","$1,976,273,109","0.21 %",2022-06-05 13:19:15
9,"Solana","$13,329,345,622","$39.29","339,806,384","$1,050,358,162","6.95 %",2022-06-05 13:19:15
10,"Dogecoin","$10,960,966,194","$0.08","132,670,764,300","$242,247,907","0.99 %",2022-06-05 13:19:15
11,"Polkadot","$10,446,226,491","$9.35","1,118,858,372","$199,129,551","1.28 %",2022-06-05 13:19:15
12,"Wrapped Bitcoin","$8,120,617,112","$29,739.00","273,302","$162,180,761","0.58 %",2022-06-05 13:19:15
13,"TRON","$7,586,654,559","$0.08","93,222,174,055","$627,204,660","3.08 %",2022-06-05 13:19:15
15,"Avalanche","$6,835,838,571","$24.35","280,817,924","$409,308,888","7.00 %",2022-06-05 13:19:15
16,"Dai","$6,444,282,855","$1.00","6,431,077,832","$216,799,227","0.07 %",2022-06-05 13:19:15
17,"Shiba Inu","$5,932,312,246","$0.00","549,146,987,315,510","$166,116,048","1.10 %",2022-06-05 13:19:15
18,"LEO Token","$4,671,632,413","$4.98","935,749,656","$2,216,558","2.21 %",2022-06-05 13:19:15
19,"Cronos","$4,462,074,451","$0.18","25,263,013,692","$16,895,033","0.21 %",2022-06-05 13:19:15
20,"Litecoin","$4,427,847,324","$62.85","70,440,483","$250,437,973","0.81 %",2022-06-05 13:19:15
21,"Polygon","$4,053,355,387","$0.59","6,872,890,164","$165,521,153","0.53 %",2022-06-05 13:19:15
22,"NEAR Protocol","$3,733,516,534","$5.30","704,969,283","$139,679,645","2.23 %",2022-06-05 13:19:15
23,"Stellar","$3,614,477,478","$0.15","24,946,032,071","$155,470,682","2.14 %",2022-06-05 13:19:15
24,"Bitcoin Cash","$3,564,914,445","$187.05","19,082,537","$153,762,868","2.39 %",2022-06-05 13:19:15
25,"FTX","$3,513,412,705","$25.85","136,045,993","$26,113,914","1.15 %",2022-06-05 13:19:15
26,"Chainlink","$3,450,450,326","$7.40","467,009,550","$373,441,407","9.04 %",2022-06-05 13:19:15
27,"Monero","$3,418,011,433","$188.80","18,130,665","$94,762,090","-1.40 %",2022-06-05 13:19:15
28,"Ethereum Classic","$2,953,611,840","$21.88","135,131,666","$116,375,444","1.05 %",2022-06-05 13:19:15
29,"OKB","$2,955,104,811","$11.38","260,143,734","$2,920,625","0.59 %",2022-06-05 13:19:15
30,"Algorand","$2,733,575,869","$0.40","6,867,142,845","$66,931,500","7.77 %",2022-06-05 13:19:15
32,"Cosmos Hub","$2,682,608,354","$9.17","292,586,164","$108,677,373","1.69 %",2022-06-05 13:19:15
33,"Flow","$2,547,351,280","$2.47","1,036,200,000","$17,105,175","0.54 %",2022-06-05 13:19:15
34,"Uniswap","$2,270,147,564","$4.98","456,489,583","$74,209,210","-0.43 %",2022-06-05 13:19:15
35,"VeChain","$2,021,157,920","$0.03","66,760,741,299","$100,407,004","1.04 %",2022-06-05 13:19:15
36,"Hedera","$1,974,817,208","$0.09","21,084,766,583","$41,978,746","5.68 %",2022-06-05 13:19:15
37,"Theta Fuel","$1,886,178,774","$0.06","0","$11,053,971","3.89 %",2022-06-05 13:19:15
39,"Internet Computer","$1,736,262,403","$7.43","234,288,960","$80,309,404","-1.96 %",2022-06-05 13:19:15
40,"Elrond","$1,701,127,440","$75.77","22,453,511","$20,190,267","0.17 %",2022-06-05 13:19:15
41,"Tezos","$1,700,919,686","$1.92","889,274,861","$46,551,443","1.73 %",2022-06-05 13:19:15
42,"KuCoin","$1,631,664,071","$16.64","97,984,145","$5,407,796","-3.08 %",2022-06-05 13:19:15
43,"Axie Infinity","$1,604,576,996","$20.05","80,079,375","$101,109,793","-0.85 %",2022-06-05 13:19:15
45,"Filecoin","$1,574,842,115","$7.36","214,154,089","$118,782,406","0.41 %",2022-06-05 13:19:15
47,"Decentraland","$1,458,044,639","$0.97","1,501,524,135","$110,495,701","0.23 %",2022-06-05 13:19:15
48,"Aave","$1,455,369,024","$105.12","13,882,516","$90,335,158","1.15 %",2022-06-05 13:19:15
49,"cETH","$1,359,201,210","$35.90","37,865,293","$111","1.19 %",2022-06-05 13:19:15
50,"TrueUSD","$1,282,762,017","$1.00","1,281,311,791","$65,496,346","0.12 %",2022-06-05 13:19:15
51,"EOS","$1,271,038,302","$1.28","996,804,521","$178,186,878","0.77 %",2022-06-05 13:19:15
52,"Theta Network","$1,194,402,063","$1.19","1,000,000,000","$46,535,062","2.25 %",2022-06-05 13:19:15
53,"cUSDC","$1,180,709,745","$0.02","52,066,050,732","$0","0.43 %",2022-06-05 13:19:15
54,"The Graph","$1,179,532,067","$0.16","7,400,273,157","$108,824,786","-2.13 %",2022-06-05 13:19:15
56,"Klaytn","$1,148,910,358","$0.40","2,843,917,537","$22,438,663","1.33 %",2022-06-05 13:19:15
57,"Zcash","$1,118,064,125","$89.41","12,515,682","$90,138,762","0.85 %",2022-06-05 13:19:15
58,"Huobi","$1,100,237,791","$7.11","154,885,159","$32,239,518","0.65 %",2022-06-05 13:19:15
60,"Bitcoin SV","$1,078,880,584","$56.63","19,078,645","$59,522,125","3.66 %",2022-06-05 13:19:15
60,"BitTorrent","$2,498,507,941","$0.00","932,497,500,000","$1,038,436","-2.73 %",2022-06-05 13:19:15
61,"Maker","$1,050,565,234","$1,166.36","901,311","$41,802,857","1.10 %",2022-06-05 13:19:15
63,"IOTA","$977,906,896","$0.35","2,779,530,283","$11,141,192","2.38 %",2022-06-05 13:19:15
64,"Pax Dollar","$938,749,029","$1.00","937,114,364","$3,090,807","0.10 %",2022-06-05 13:19:15
65,"Helium","$939,728,431","$9.36","100,539,362","$31,076,081","8.18 %",2022-06-05 13:19:15
66,"eCash","$922,958,763","$0.00","19,078,535,923,303","$5,401,642","1.12 %",2022-06-05 13:19:15
67,"Fantom","$888,498,479","$0.35","2,541,152,731","$156,570,775","1.75 %",2022-06-05 13:19:15
68,"Quant","$874,748,662","$65.23","13,413,953","$23,374,439","2.07 %",2022-06-05 13:19:15
69,"THORChain","$864,094,092","$2.88","300,755,175","$62,701,649","1.12 %",2022-06-05 13:19:15
70,"Waves","$836,705,850","$8.37","100,000,000","$634,846,837","-4.77 %",2022-06-05 13:19:15
72,"NEO","$813,520,378","$11.55","70,530,000","$106,264,087","5.04 %",2022-06-05 13:19:15
73,"Gate","$802,083,054","$5.41","148,515,369","$2,274,892","0.65 %",2022-06-05 13:19:15
75,"Terra Luna Classic","$768,841,921","$0.00","0","$106,864,197","-11.58 %",2022-06-05 13:19:15
76,"PancakeSwap","$742,424,313","$4.36","170,339,971","$63,027,805","2.85 %",2022-06-05 13:19:15
77,"cDAI","$736,509,754","$0.02","33,396,907,424","$2,438","0.12 %",2022-06-05 13:19:15
78,"Zilliqa","$717,051,466","$0.05","14,415,775,993","$65,612,280","0.72 %",2022-06-05 13:19:15
79,"Chiliz","$672,881,622","$0.13","5,344,064,580","$62,821,040","1.36 %",2022-06-05 13:19:15
80,"NEXO","$668,662,390","$1.19","560,000,010","$4,019,303","1.37 %",2022-06-05 13:19:15
82,"Loopring","$630,437,105","$0.51","1,245,991,469","$68,021,734","0.50 %",2022-06-05 13:19:15
83,"Arweave","$628,633,271","$12.55","50,108,502","$6,841,614","0.98 %",2022-06-05 13:19:15
84,"Dash","$628,434,252","$58.39","10,759,985","$61,324,650","1.18 %",2022-06-05 13:19:15
85,"PAX Gold","$620,517,288","$1,861.17","333,601","$5,297,868","0.24 %",2022-06-05 13:19:15
86,"Kusama","$610,556,772","$68.12","8,980,098","$46,490,352","1.25 %",2022-06-05 13:19:15
88,"Enjin Coin","$580,272,457","$0.62","934,340,660","$44,145,954","2.21 %",2022-06-05 13:19:15
89,"Stacks","$571,827,258","$0.54","1,052,561,462","$9,413,017","2.95 %",2022-06-05 13:19:15
90,"Basic Attention","$573,079,453","$0.38","1,498,812,101","$38,794,713","2.56 %",2022-06-05 13:19:15
91,"Celo","$567,096,706","$1.28","445,012,828","$12,278,912","2.58 %",2022-06-05 13:19:15
92,"Synthetix Network","$567,613,231","$2.59","219,627,229","$53,594,601","-1.23 %",2022-06-05 13:19:15
96,"Amp","$545,697,274","$0.01","48,013,928,909","$2,445,028","-1.14 %",2022-06-05 13:19:15
98,"DxChain Token","$94,790,225","$0.00","0","$156,923","3.37 %",2022-06-05 13:19:15
100,"Kava","$517,542,875","$2.55","203,556,701","$21,334,018","3.55 %",2022-06-05 13:19:15
100,"Aave LINK","$330,885,424","$25.19","0","$11,646,285","3.32 %",2022-06-05 13:19:15
